2019-11-14 14:51:27,"b""#Delhi #schools #close as #farm #fires add to city's foul #air... #pollution #India https://t.co/WDadRvkNxZ"""
2019-11-14 14:37:52,"b""#Delhi schools close as farm #fires add to city's foul #air\n#pollution #environment #India  https://t.co/cVWTGhEOfA https://t.co/QMDWiQnDH1"""
2019-11-14 14:21:54,"b""@KarlRobinson02 @NatGeo But we are a VERY minor part of the #pollution. If you're such a believer go in #China and\xe2\x80\xa6 https://t.co/tnItbr8IUz"""
2019-11-14 13:56:53,b'RT @SupriyaVerma25: @dpcarrington @WeichenthalS We all knew #air #pollution had bad #environmental effects. Finally we have proof demonstra\xe2\x80\xa6'
2019-11-14 12:25:45,"b'RT @Pureclearwater2: @DevonWildlife @NFFNUK @PasturePromise Wet #woodland - rich in #wildlife, deep roots hold #soil in place, keeps moistu\xe2\x80\xa6'"
2019-11-14 12:12:00,"b'RT @Pureclearwater2: @DevonWildlife @NFFNUK @PasturePromise Wet #woodland - rich in #wildlife, deep roots hold #soil in place, keeps moistu\xe2\x80\xa6'"
2019-11-14 09:37:41,"b'RT @XiaomiIndia: Rising #pollution levels need newer, better solutions. Introducing the all-new #MiAirPurifier3 - our most powerful #air pu\xe2\x80\xa6'"
2019-11-14 09:32:29,"b'And as always, the Court is not obliged to follow the Adv Gen\xe2\x80\x99s Opinion.  \n\n#NotOverYet @JohnSodeau @CRAClabUCC #air #law #pollution'"
2019-11-14 08:58:03,b'@VijayGoelBJP @BJP4Delhi In an #AQI of approx 500 children are made to Run in #Delhi when schools are shut for chil\xe2\x80\xa6 https://t.co/WmzJrB2Xne'
2019-11-14 07:28:55,b'This just in!\n\nKarachi just beat Lahore for the first time. \n\nKarachi AQI 290\nLahore AQI 270\n\nDelhi AQI 448\n\n12:25\xe2\x80\xa6 https://t.co/5m6sNgEz8X'
2019-11-14 06:18:29,b'In an #AQI of approx 500 children are made to Run in #Delhi when schools are shut for children citing unbreathable\xe2\x80\xa6 https://t.co/KBEFcTp7pV'
